META,SOURCEID,BIBTEXKEY,NAME,CAS,ORGANISM,EXPERIMENT,REPEAT,EXPOSURE,EXPOSUREUNIT,INTERNAL,INTERNALUNIT,EXTERNAL,EXTERNALUNIT,OXYGEN,MOLWEIGHT,TEMPERATURE,FLAGUPTAKE,LOGKOW,KOW,WEIGHT
collins2023,d1,ding2016,Propranolol,000525-66-6,Daphnia Magna,e1,r1,0,h,0,ug / kg,5,ug / l,NA,NA,22,TRUE,3.48,3019.95172,0.00003048
collins2023,d1,ding2016,Propranolol,000525-66-6,Daphnia Magna,e2,r1,0,h,0,ug / kg,100,ug / l,NA,NA,22,TRUE,3.48,3019.95172,0.00003048
collins2023,d1,ding2016,Propranolol,000525-66-6,Daphnia Magna,e3,r1,2.979373568,h,52.5198939,ug / kg,5,ug / l,NA,NA,22,TRUE,3.48,3019.95172,0.00003048
collins2023,d1,ding2016,Propranolol,000525-66-6,Daphnia Magna,e4,r1,2.979373568,h,436.6047745,ug / kg,100,ug / l,NA,NA,22,TRUE,3.48,3019.95172,0.00003048
collins2023,d1,ding2016,Propranolol,000525-66-6,Daphnia Magna,e5,r1,5.996944232,h,80.1061008,ug / kg,5,ug / l,NA,NA,22,TRUE,3.48,3019.95172,0.00003048
collins2023,d1,ding2016,Propranolol,000525-66-6,Daphnia Magna,e6,r1,5.996944232,h,673.2095491,ug / kg,100,ug / l,NA,NA,22,TRUE,3.48,3019.95172,0.00003048
collins2023,d1,ding2016,Propranolol,000525-66-6,Daphnia Magna,e7,r1,11.99388846,h,106.6312997,ug / kg,5,ug / l,NA,NA,22,TRUE,3.48,3019.95172,0.00003048
collins2023,d1,ding2016,Propranolol,000525-66-6,Daphnia Magna,e8,r1,11.99388846,h,732.6259947,ug / kg,100,ug / l,NA,NA,22,TRUE,3.48,3019.95172,0.00003048
collins2023,d1,ding2016,Propranolol,000525-66-6,Daphnia Magna,e9,r1,23.98777693,h,134.2175066,ug / kg,5,ug / l,NA,NA,22,TRUE,3.48,3019.95172,0.00003048
collins2023,d1,ding2016,Propranolol,000525-66-6,Daphnia Magna,e10,r1,24.02597403,h,776.127321,ug / kg,100,ug / l,NA,NA,22,TRUE,3.48,3019.95172,0.00003048
collins2023,d1,ding2016,Roxithromycin,080214-83-1,Daphnia Magna,e1,r1,0,h,0,ug / kg,5,ug / l,NA,NA,22,TRUE,2.75,562.3413252,0.0000238
collins2023,d1,ding2016,Roxithromycin,080214-83-1,Daphnia Magna,e2,r1,0,h,0,ug / kg,100,ug / l,NA,NA,22,TRUE,2.75,562.3413252,0.0000238
collins2023,d1,ding2016,Roxithromycin,080214-83-1,Daphnia Magna,e3,r1,2.971311475,h,177.2241993,ug / kg,5,ug / l,NA,NA,22,TRUE,2.75,562.3413252,0.0000238
collins2023,d1,ding2016,Roxithromycin,080214-83-1,Daphnia Magna,e4,r1,3.022540984,h,719.5729537,ug / kg,100,ug / l,NA,NA,22,TRUE,2.75,562.3413252,0.0000238
collins2023,d1,ding2016,Roxithromycin,080214-83-1,Daphnia Magna,e5,r1,5.993852459,h,238.4341637,ug / kg,5,ug / l,NA,NA,22,TRUE,2.75,562.3413252,0.0000238
collins2023,d1,ding2016,Roxithromycin,080214-83-1,Daphnia Magna,e6,r1,5.993852459,h,847.6868327,ug / kg,100,ug / l,NA,NA,22,TRUE,2.75,562.3413252,0.0000238
collins2023,d1,ding2016,Roxithromycin,080214-83-1,Daphnia Magna,e7,r1,11.98770492,h,336.6548043,ug / kg,5,ug / l,NA,NA,22,TRUE,2.75,562.3413252,0.0000238
collins2023,d1,ding2016,Roxithromycin,080214-83-1,Daphnia Magna,e8,r1,11.98770492,h,900.3558719,ug / kg,100,ug / l,NA,NA,22,TRUE,2.75,562.3413252,0.0000238
collins2023,d1,ding2016,Roxithromycin,080214-83-1,Daphnia Magna,e9,r1,23.97540984,h,269.7508897,ug / kg,5,ug / l,NA,NA,22,TRUE,2.75,562.3413252,0.0000238
collins2023,d1,ding2016,Roxithromycin,080214-83-1,Daphnia Magna,e10,r1,23.97540984,h,916.0142349,ug / kg,100,ug / l,NA,NA,22,TRUE,2.75,562.3413252,0.0000238
collins2023,d1,ding2016,Propranolol,000525-66-6,Daphnia Magna,e11,r1,27.00534759,h,127.8514589,ug / kg,5,ug / l,NA,NA,22,FALSE,3.48,3019.95172,0.00003048
collins2023,d1,ding2016,Propranolol,000525-66-6,Daphnia Magna,e12,r1,27.00534759,h,595.7559682,ug / kg,100,ug / l,NA,NA,22,FALSE,3.48,3019.95172,0.00003048
collins2023,d1,ding2016,Propranolol,000525-66-6,Daphnia Magna,e13,r1,30.02291826,h,98.14323607,ug / kg,5,ug / l,NA,NA,22,FALSE,3.48,3019.95172,0.00003048
collins2023,d1,ding2016,Propranolol,000525-66-6,Daphnia Magna,e14,r1,30.02291826,h,502.3872679,ug / kg,100,ug / l,NA,NA,22,FALSE,3.48,3019.95172,0.00003048
collins2023,d1,ding2016,Propranolol,000525-66-6,Daphnia Magna,e15,r1,36.01986249,h,90.71618037,ug / kg,5,ug / l,NA,NA,22,FALSE,3.48,3019.95172,0.00003048
collins2023,d1,ding2016,Propranolol,000525-66-6,Daphnia Magna,e16,r1,36.01986249,h,374.005305,ug / kg,100,ug / l,NA,NA,22,FALSE,3.48,3019.95172,0.00003048
collins2023,d1,ding2016,Propranolol,000525-66-6,Daphnia Magna,e17,r1,48,h,79.04509284,ug / kg,5,ug / l,NA,NA,22,FALSE,3.48,3019.95172,0.00003048
collins2023,d1,ding2016,Propranolol,000525-66-6,Daphnia Magna,e18,r1,48,h,309.2838196,ug / kg,100,ug / l,NA,NA,22,FALSE,3.48,3019.95172,0.00003048
collins2023,d1,ding2016,Roxithromycin,080214-83-1,Daphnia Magna,e11,r1,26.99795082,h,167.2597865,ug / kg,5,ug / l,NA,NA,22,FALSE,2.75,562.3413252,0.0000238
collins2023,d1,ding2016,Roxithromycin,080214-83-1,Daphnia Magna,e12,r1,26.99795082,h,590.0355872,ug / kg,100,ug / l,NA,NA,22,FALSE,2.75,562.3413252,0.0000238
collins2023,d1,ding2016,Roxithromycin,080214-83-1,Daphnia Magna,e13,r1,29.9692623,h,110.3202847,ug / kg,5,ug / l,NA,NA,22,FALSE,2.75,562.3413252,0.0000238
collins2023,d1,ding2016,Roxithromycin,080214-83-1,Daphnia Magna,e14,r1,30.0204918,h,180.0711744,ug / kg,100,ug / l,NA,NA,22,FALSE,2.75,562.3413252,0.0000238
collins2023,d1,ding2016,Roxithromycin,080214-83-1,Daphnia Magna,e15,r1,35.96311475,h,100.3558719,ug / kg,5,ug / l,NA,NA,22,FALSE,2.75,562.3413252,0.0000238
collins2023,d1,ding2016,Roxithromycin,080214-83-1,Daphnia Magna,e16,r1,35.96311475,h,51.95729537,ug / kg,100,ug / l,NA,NA,22,FALSE,2.75,562.3413252,0.0000238
collins2023,d1,ding2016,Roxithromycin,080214-83-1,Daphnia Magna,e17,r1,48,h,87.54448399,ug / kg,5,ug / l,NA,NA,22,FALSE,2.75,562.3413252,0.0000238
collins2023,d1,ding2016,Roxithromycin,080214-83-1,Daphnia Magna,e18,r1,48,h,88.96797153,ug / kg,100,ug / l,NA,NA,22,FALSE,2.75,562.3413252,0.0000238
collins2023,d10,ding2017,Fluoxetine,054910-89-3,Daphnia Magna,e1,r1,0,h,0,ug / kg,0.5,ug / l,NA,NA,22,TRUE,4.05,11220.18454,0.000001791
collins2023,d10,ding2017,Fluoxetine,054910-89-3,Daphnia Magna,e2,r1,0,h,0,ug / kg,5,ug / l,NA,NA,22,TRUE,4.05,11220.18454,0.000001791
collins2023,d10,ding2017,Fluoxetine,054910-89-3,Daphnia Magna,e3,r1,3.002502085,h,207.89177,ug / kg,0.5,ug / l,NA,NA,22,TRUE,4.05,11220.18454,0.000001791
collins2023,d10,ding2017,Fluoxetine,054910-89-3,Daphnia Magna,e4,r1,3.002502085,h,246.2232244,ug / kg,5,ug / l,NA,NA,22,TRUE,4.05,11220.18454,0.000001791
collins2023,d10,ding2017,Fluoxetine,054910-89-3,Daphnia Magna,e5,r1,6.00500417,h,208.7936866,ug / kg,0.5,ug / l,NA,NA,22,TRUE,4.05,11220.18454,0.000001791
collins2023,d10,ding2017,Fluoxetine,054910-89-3,Daphnia Magna,e6,r1,6.00500417,h,307.5535513,ug / kg,5,ug / l,NA,NA,22,TRUE,4.05,11220.18454,0.000001791
collins2023,d10,ding2017,Fluoxetine,054910-89-3,Daphnia Magna,e7,r1,12.01000834,h,160.0901917,ug / kg,0.5,ug / l,NA,NA,22,TRUE,4.05,11220.18454,0.000001791
collins2023,d10,ding2017,Fluoxetine,054910-89-3,Daphnia Magna,e8,r1,12.01000834,h,238.1059752,ug / kg,5,ug / l,NA,NA,22,TRUE,4.05,11220.18454,0.000001791
collins2023,d10,ding2017,Fluoxetine,054910-89-3,Daphnia Magna,e9,r1,23.97998332,h,144.3066516,ug / kg,0.5,ug / l,NA,NA,22,TRUE,4.05,11220.18454,0.000001791
collins2023,d10,ding2017,Fluoxetine,054910-89-3,Daphnia Magna,e10,r1,23.97998332,h,264.7125141,ug / kg,5,ug / l,NA,NA,22,TRUE,4.05,11220.18454,0.000001791
collins2023,d10,ding2017,Fluoxetine,054910-89-3,Daphnia Magna,e11,r1,35.98999166,h,158.2863585,ug / kg,0.5,ug / l,NA,NA,22,TRUE,4.05,11220.18454,0.000001791
collins2023,d10,ding2017,Fluoxetine,054910-89-3,Daphnia Magna,e12,r1,35.98999166,h,275.535513,ug / kg,5,ug / l,NA,NA,22,TRUE,4.05,11220.18454,0.000001791
collins2023,d10,ding2017,Fluoxetine,054910-89-3,Daphnia Magna,e13,r1,48,h,165.0507328,ug / kg,0.5,ug / l,NA,NA,22,TRUE,4.05,11220.18454,0.000001791
collins2023,d10,ding2017,Fluoxetine,054910-89-3,Daphnia Magna,e14,r1,48,h,256.1443067,ug / kg,5,ug / l,NA,NA,22,TRUE,4.05,11220.18454,0.000001791
collins2023,d11,kim2014,Tetracycline,000060-54-8,Daphnia Magna,e1,r1,0,h,0.047191011,ng / mg,0.1,mg / l,NA,NA,22,TRUE,-1.19,0.064565423,0.0000238
collins2023,d11,kim2014,Tetracycline,000060-54-8,Daphnia Magna,e2,r1,0,h,0.105617978,ng / mg,1,mg / l,NA,NA,22,TRUE,-1.19,0.064565423,0.0000238
collins2023,d11,kim2014,Tetracycline,000060-54-8,Daphnia Magna,e3,r1,1.976744186,h,0.941573034,ng / mg,1,mg / l,NA,NA,22,TRUE,-1.19,0.064565423,0.0000238
collins2023,d11,kim2014,Tetracycline,000060-54-8,Daphnia Magna,e4,r1,2.015503876,h,0.217977528,ng / mg,0.1,mg / l,NA,NA,22,TRUE,-1.19,0.064565423,0.0000238
collins2023,d11,kim2014,Tetracycline,000060-54-8,Daphnia Magna,e5,r1,3.992248062,h,0.258426966,ng / mg,0.1,mg / l,NA,NA,22,TRUE,-1.19,0.064565423,0.0000238
collins2023,d11,kim2014,Tetracycline,000060-54-8,Daphnia Magna,e6,r1,3.992248062,h,0.973033708,ng / mg,1,mg / l,NA,NA,22,TRUE,-1.19,0.064565423,0.0000238
collins2023,d11,kim2014,Tetracycline,000060-54-8,Daphnia Magna,e7,r1,7.984496124,h,0.312359551,ng / mg,0.1,mg / l,NA,NA,22,TRUE,-1.19,0.064565423,0.0000238
collins2023,d11,kim2014,Tetracycline,000060-54-8,Daphnia Magna,e8,r1,7.984496124,h,1.382022472,ng / mg,1,mg / l,NA,NA,22,TRUE,-1.19,0.064565423,0.0000238
collins2023,d11,kim2014,Tetracycline,000060-54-8,Daphnia Magna,e9,r1,11.97674419,h,0.328089888,ng / mg,0.1,mg / l,NA,NA,22,TRUE,-1.19,0.064565423,0.0000238
collins2023,d11,kim2014,Tetracycline,000060-54-8,Daphnia Magna,e10,r1,11.97674419,h,1.224719101,ng / mg,1,mg / l,NA,NA,22,TRUE,-1.19,0.064565423,0.0000238
collins2023,d11,kim2014,Tetracycline,000060-54-8,Daphnia Magna,e11,r1,23.95348837,h,0.294382022,ng / mg,0.1,mg / l,NA,NA,22,TRUE,-1.19,0.064565423,0.0000238
collins2023,d11,kim2014,Tetracycline,000060-54-8,Daphnia Magna,e12,r1,23.99224806,h,1.575280899,ng / mg,1,mg / l,NA,NA,22,TRUE,-1.19,0.064565423,0.0000238
collins2023,d11,kim2014,Tetracycline,000060-54-8,Daphnia Magna,e13,r1,25.96899225,h,0.17752809,ng / mg,0.1,mg / l,NA,NA,22,FALSE,-1.19,0.064565423,0.0000238
collins2023,d11,kim2014,Tetracycline,000060-54-8,Daphnia Magna,e14,r1,26.00775194,h,1.031460674,ng / mg,1,mg / l,NA,NA,22,FALSE,-1.19,0.064565423,0.0000238
collins2023,d11,kim2014,Tetracycline,000060-54-8,Daphnia Magna,e15,r1,27.94573643,h,0.114606742,ng / mg,0.1,mg / l,NA,NA,22,FALSE,-1.19,0.064565423,0.0000238
