META,SOURCEID,BIBTEXKEY,NAME,CAS,ORGANISM,EXPERIMENT,REPEAT,EXPOSURE,EXPOSUREUNIT,INTERNAL,INTERNALUNIT,EXTERNAL,EXTERNALUNIT,OXYGEN,MOLWEIGHT,TEMPERATURE,FLAGUPTAKE,LOGKOW,KOW,WEIGHT
stadnicka2012,f11,buckler1981,Chlordecone (Kepone),000143-50-0,Fathead Minnow,e1,r1,60,d,0.17,ug / g,0.17,ug / l,7,NA,22,TRUE,5.41,257039.5783,0.000277
stadnicka2012,f11,buckler1981,Chlordecone (Kepone),000143-50-0,Fathead Minnow,e2,r1,60,d,0.38,ug / g,0.31,ug / l,7,NA,22,TRUE,5.41,257039.5783,0.000277
stadnicka2012,f11,buckler1981,Chlordecone (Kepone),000143-50-0,Fathead Minnow,e3,r1,60,d,2.6,ug / g,1.2,ug / l,7,NA,22,TRUE,5.41,257039.5783,0.000277
stadnicka2012,f11,buckler1981,Chlordecone (Kepone),000143-50-0,Fathead Minnow,e4,r1,60,d,3.8,ug / g,3.1,ug / l,7,NA,22,TRUE,5.41,257039.5783,0.000277
stadnicka2012,f7,call1980,"2,4,5-Trichlorophenol",000095-95-4,Fathead Minnow,e1,r1,28,d,100,ug / g,49.3,ug / l,8.22,NA,22,TRUE,3.72,5248.074602,0.000115
stadnicka2012,f7,call1980,4-Nitrophenol,000100-02-7,Fathead Minnow,e1,r1,28,d,25.1,ug / g,44.1,ug / l,8.22,NA,21.9,TRUE,1.91,81.28305162,0.000115
stadnicka2012,f7,call1980,Phenol,000108-95-2,Fathead Minnow,e1,r1,28,d,1584,ug / g,32.7,ug / l,8.22,NA,21.9,TRUE,1.46,28.84031503,0.000115
stadnicka2012,f9,call1984,Alachlor (Technical grade),015972-60-8,Fathead Minnow,e1,r1,64,d,23.8,ug / g,520,ug / l,7.72,NA,24.7,TRUE,3.52,3311.311215,0.000423
stadnicka2012,f9,call1984,Alachlor (Technical grade),015972-60-8,Fathead Minnow,e2,r1,64,d,50.4,ug / g,1100,ug / l,7.72,NA,24.7,TRUE,3.52,3311.311215,0.000316
stadnicka2012,f9,call1984,Dinoseb (Technical grade),000088-85-7,Fathead Minnow,e1,r1,64,d,0.91,ug / g,14.5,ug / l,7.69,NA,24.7,TRUE,3.56,3630.780548,0.000679
stadnicka2012,f9,call1984,Dinoseb (Technical grade),000088-85-7,Fathead Minnow,e2,r1,64,d,3.05,ug / g,48.5,ug / l,7.69,NA,24.7,TRUE,3.56,3630.780548,0.000517
stadnicka2012,f10,call1987,Bromacil (Technical grade),000314-40-9,Fathead Minnow,e1,r1,17,d,3,ug / g,1000,ug / l,7.72,NA,25,TRUE,2.11,128.8249552,0.000479
stadnicka2012,f10,call1987,Diuron (Technical grade),000330-54-1,Fathead Minnow,e1,r1,24,d,4.8,ug / g,33.4,ug / l,7.51,NA,24.3,TRUE,2.68,478.6300923,0.000563
stadnicka2012,f2,carlson1987a,"1,2,3,4-Tetrachlorobenzene",000634-66-2,Fathead Minnow,e1,r1,33,d,7,ug / g,3,ug / l,7.4,NA,25,TRUE,4.6,39810.71706,0.000112
stadnicka2012,f2,carlson1987a,"1,2,3,4-Tetrachlorobenzene",000634-66-2,Fathead Minnow,e2,r1,33,d,46,ug / g,19,ug / l,7.4,NA,25,TRUE,4.6,39810.71706,0.000114
stadnicka2012,f2,carlson1987a,"1,2,3,4-Tetrachlorobenzene",000634-66-2,Fathead Minnow,e3,r1,33,d,94,ug / g,39,ug / l,7.4,NA,25,TRUE,4.6,39810.71706,0.000114
stadnicka2012,f2,carlson1987a,"1,2,3,4-Tetrachlorobenzene",000634-66-2,Fathead Minnow,e4,r1,33,d,200,ug / g,110,ug / l,7.4,NA,25,TRUE,4.6,39810.71706,0.000102
stadnicka2012,f2,carlson1987a,"1,2,3,4-Tetrachlorobenzene",000634-66-2,Fathead Minnow,e5,r1,33,d,640,ug / g,250,ug / l,7.4,NA,25,TRUE,4.6,39810.71706,0.000098
stadnicka2012,f2,carlson1987a,"1,2,3,4-Tetrachlorobenzene",000634-66-2,Fathead Minnow,e6,r1,33,d,1100,ug / g,410,ug / l,7.4,NA,25,TRUE,4.6,39810.71706,0.000057
stadnicka2012,f2,carlson1987a,"1,3-Dichlorobenzene",000541-73-1,Fathead Minnow,e1,r1,32,d,1.3,ug / g,20,ug / l,6.9,NA,25,TRUE,3.53,3388.441561,0.0001
stadnicka2012,f2,carlson1987a,"1,3-Dichlorobenzene",000541-73-1,Fathead Minnow,e2,r1,32,d,29,ug / g,300,ug / l,6.9,NA,25,TRUE,3.53,3388.441561,0.000099
stadnicka2012,f2,carlson1987a,"1,3-Dichlorobenzene",000541-73-1,Fathead Minnow,e3,r1,32,d,57,ug / g,560,ug / l,6.9,NA,25,TRUE,3.53,3388.441561,0.000098
stadnicka2012,f2,carlson1987a,"1,3-Dichlorobenzene",000541-73-1,Fathead Minnow,e4,r1,32,d,120,ug / g,1000,ug / l,6.9,NA,25,TRUE,3.53,3388.441561,0.000102
stadnicka2012,f2,carlson1987a,"1,4-Dichlorobenzene",000106-46-7,Fathead Minnow,e1,r1,32,d,6.8,ug / g,19,ug / l,7.3,NA,25,TRUE,3.44,2754.228703,0.000101
